source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
T5c,97,Cluster12,700+ cells,LPC2,97,Boundary,1-99 cells,10452,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,LPC2,100,Boundary,1-99 cells,9316,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,Tlp4,97,Cluster11,1-99 cells,10802,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,Tlp4,100,Cluster11,1-99 cells,9946,Top Input,Excitation,top_input
Tlp4,25,Cluster11,1-99 cells,TmY14,25,Cluster7,100-699 cells,4419,Top Output,Inhibition,top_output
Tlp4,25,Cluster11,1-99 cells,T4c,25,Cluster12,700+ cells,3406,Top Output,Inhibition,top_output
T5c,97,Cluster12,700+ cells,LPi09,97,Cluster11,1-99 cells,24431,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi09,97,Cluster11,1-99 cells,24431,Top Output,Excitation,top_output
T4c,100,Cluster12,700+ cells,LPi09,100,Cluster11,1-99 cells,20127,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,LPi09,100,Cluster11,1-99 cells,20127,Top Output,Excitation,top_output
LPi09,26,Cluster11,1-99 cells,LLPC3,26,Boundary,100-699 cells,3682,Top Output,Inhibition,top_output
LPi09,26,Cluster11,1-99 cells,LPi13,26,Cluster11,1-99 cells,3218,Top Output,Inhibition,top_output
LPi09,26,Cluster11,1-99 cells,Tlp1,26,Cluster11,1-99 cells,2805,Top Output,Inhibition,top_output
T4c,100,Cluster12,700+ cells,Tlp14,100,Cluster11,1-99 cells,14840,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,Tlp14,97,Cluster11,1-99 cells,14148,Top Input,Excitation,top_input
Tlp14,23,Cluster11,1-99 cells,TmY14,23,Cluster7,100-699 cells,7223,Top Output,Inhibition,top_output
T4c,100,Cluster12,700+ cells,LLPC2,100,Boundary,100-699 cells,8979,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LLPC2,97,Boundary,100-699 cells,7635,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,Y11,97,Cluster11,1-99 cells,8875,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,Y11,100,Cluster11,1-99 cells,8869,Top Input,Excitation,top_input
Y11,27,Cluster11,1-99 cells,TmY14,27,Cluster7,100-699 cells,8265,Top Output,Inhibition,top_output
T4c,100,Cluster12,700+ cells,LPT48_vCal3,100,Boundary,1-99 cells,1187,Top Input,Excitation,top_input
LPi11,23,Cluster11,1-99 cells,LPT48_vCal3,23,Boundary,1-99 cells,1013,Top Input,Inhibition,top_input
T5c,97,Cluster12,700+ cells,LPT48_vCal3,97,Boundary,1-99 cells,909,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPT50,97,Boundary,1-99 cells,1636,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,LPT50,100,Boundary,1-99 cells,1244,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi04,97,Cluster11,1-99 cells,5951,Top Input,Excitation,top_input
LPi04,25,Cluster11,1-99 cells,Y11,25,Cluster11,1-99 cells,2550,Top Output,Inhibition,top_output
T4c,100,Cluster12,700+ cells,LPi07,100,Cluster11,1-99 cells,9507,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi07,97,Cluster11,1-99 cells,7243,Top Input,Excitation,top_input
LPi07,25,Cluster11,1-99 cells,Y1,25,Cluster11,1-99 cells,3144,Top Output,Inhibition,top_output
LPi07,25,Cluster11,1-99 cells,LPi12,25,Cluster11,1-99 cells,2459,Top Output,Inhibition,top_output
LPi07,25,Cluster11,1-99 cells,TmY9q⊥,25,Cluster2,100-699 cells,2405,Top Output,Inhibition,top_output
T5b,96,Cluster12,700+ cells,LT33,96,Boundary,1-99 cells,4357,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Tm9,94,Cluster12,700+ cells,15428,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,CT1,95,Cluster12,1-99 cells,23488,Top Output,Excitation,top_output
Tm9,95,Cluster12,700+ cells,CT1,95,Cluster12,1-99 cells,23488,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5c,95,Cluster12,700+ cells,18434,Top Output,Excitation,top_output
Tm9,95,Cluster12,700+ cells,T5c,95,Cluster12,700+ cells,18434,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T5c,97,Cluster12,700+ cells,16506,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T4d,100,Cluster12,700+ cells,29557,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPi11,98,Cluster11,1-99 cells,15181,Top Output,Excitation,top_output
T4d,98,Cluster12,700+ cells,LPi11,98,Cluster11,1-99 cells,15181,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LLPC3,93,Boundary,100-699 cells,8137,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LLPC3,98,Boundary,100-699 cells,7477,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T5a,97,Cluster12,700+ cells,16186,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5a,95,Cluster12,700+ cells,16021,Top Input,Excitation,top_input
CT1,20,Cluster12,1-99 cells,T5a,20,Cluster12,700+ cells,15343,Top Input,Inhibition,top_input
CT1,20,Cluster12,1-99 cells,T5a,20,Cluster12,700+ cells,15343,Top Output,Inhibition,top_output
Tm1,97,Cluster8,700+ cells,T5a,97,Cluster12,700+ cells,12761,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19539,Top Output,Excitation,top_output
T5a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19539,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5b,95,Cluster12,700+ cells,15945,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T5b,97,Cluster12,700+ cells,15155,Top Input,Excitation,top_input
CT1,20,Cluster12,1-99 cells,T5b,20,Cluster12,700+ cells,14588,Top Input,Inhibition,top_input
CT1,20,Cluster12,1-99 cells,T5b,20,Cluster12,700+ cells,14588,Top Output,Inhibition,top_output
T5b,96,Cluster12,700+ cells,LPi15,96,Cluster11,1-99 cells,20029,Top Output,Excitation,top_output
T5b,96,Cluster12,700+ cells,LPi15,96,Cluster11,1-99 cells,20029,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5d,95,Cluster12,700+ cells,16483,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T5d,97,Cluster12,700+ cells,13908,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPi11,93,Cluster11,1-99 cells,13104,Top Output,Excitation,top_output
T5d,93,Cluster12,700+ cells,LPi11,93,Cluster11,1-99 cells,13104,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T4c,100,Cluster12,700+ cells,33637,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPi13,93,Cluster11,1-99 cells,8175,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPi13,98,Cluster11,1-99 cells,7447,Top Input,Excitation,top_input
LPi13,20,Cluster11,1-99 cells,TmY14,20,Cluster7,100-699 cells,7854,Top Output,Inhibition,top_output
T5a,94,Cluster12,700+ cells,Tlp5,94,Cluster11,1-99 cells,2982,Top Input,Excitation,top_input
Tlp5,23,Cluster11,1-99 cells,Li32,23,Cluster1,1-99 cells,2931,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,T4b,100,Cluster12,700+ cells,28683,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPi15,95,Cluster11,1-99 cells,18656,Top Output,Excitation,top_output
T4b,95,Cluster12,700+ cells,LPi15,95,Cluster11,1-99 cells,18656,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T4a,100,Cluster12,700+ cells,35045,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19833,Top Output,Excitation,top_output
T4a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19833,Top Input,Excitation,top_input
CT1,20,Cluster12,1-99 cells,T5c,20,Cluster12,700+ cells,12192,Top Output,Inhibition,top_output
T4d,98,Cluster12,700+ cells,Y12,98,Cluster11,1-99 cells,4933,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,Y12,93,Cluster11,1-99 cells,4712,Top Input,Excitation,top_input
Y12,30,Cluster11,1-99 cells,TmY14,30,Cluster7,100-699 cells,7789,Top Output,Inhibition,top_output
T5b,96,Cluster12,700+ cells,LPC1,96,Boundary,1-99 cells,8638,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPC1,95,Boundary,1-99 cells,7889,Top Input,Excitation,top_input
LPi11,23,Cluster11,1-99 cells,Tlp14,23,Cluster11,1-99 cells,5401,Top Output,Inhibition,top_output
LPi11,23,Cluster11,1-99 cells,LLPC2,23,Boundary,100-699 cells,4822,Top Output,Inhibition,top_output
LPi11,23,Cluster11,1-99 cells,LPC2,23,Boundary,1-99 cells,4315,Top Output,Inhibition,top_output
T4a,94,Cluster12,700+ cells,TmY16,94,Cluster7,1-99 cells,4832,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPT42_Nod4,95,Boundary,1-99 cells,953,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPT42_Nod4,96,Boundary,1-99 cells,787,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPi10,96,Cluster11,1-99 cells,7544,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPi10,95,Cluster11,1-99 cells,7217,Top Input,Excitation,top_input
LPi10,22,Cluster11,1-99 cells,TmY14,22,Cluster7,100-699 cells,6919,Top Output,Inhibition,top_output
T5b,96,Cluster12,700+ cells,Nod3,96,Boundary,1-99 cells,928,Top Input,Excitation,top_input
LPi14,20,Cluster11,1-99 cells,Nod3,20,Boundary,1-99 cells,729,Top Input,Inhibition,top_input
T4b,95,Cluster12,700+ cells,Nod3,95,Boundary,1-99 cells,727,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPi12,95,Cluster11,1-99 cells,4719,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPi12,96,Cluster11,1-99 cells,4483,Top Input,Excitation,top_input
LPi12,20,Cluster11,1-99 cells,T4b,20,Cluster12,700+ cells,6741,Top Output,Inhibition,top_output
LPi15,20,Cluster11,1-99 cells,LLPC1,20,Boundary,100-699 cells,4358,Top Output,Inhibition,top_output
LPi15,20,Cluster11,1-99 cells,Y11,20,Cluster11,1-99 cells,3456,Top Output,Inhibition,top_output
T5b,96,Cluster12,700+ cells,LPi05,96,Cluster11,1-99 cells,8052,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPi05,95,Cluster11,1-99 cells,7741,Top Input,Excitation,top_input
LPi05,24,Cluster11,1-99 cells,TmY31,24,Cluster1,100-699 cells,2874,Top Output,Inhibition,top_output
T4b,95,Cluster12,700+ cells,vCal1,95,Boundary,1-99 cells,435,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,vCal1,96,Boundary,1-99 cells,429,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPT23,96,Boundary,1-99 cells,3974,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPT23,95,Boundary,1-99 cells,3714,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,Am1,96,Cluster11,1-99 cells,11602,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,Am1,95,Cluster11,1-99 cells,9422,Top Input,Excitation,top_input
Am1,20,Cluster11,1-99 cells,TmY14,20,Cluster7,100-699 cells,5418,Top Output,Inhibition,top_output
T5b,96,Cluster12,700+ cells,H2,96,Boundary,1-99 cells,7489,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,H2,95,Boundary,1-99 cells,7079,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,Y1,94,Cluster11,1-99 cells,9282,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,Y1,94,Cluster11,1-99 cells,7124,Top Input,Excitation,top_input
Y1,28,Cluster11,1-99 cells,TmY14,28,Cluster7,100-699 cells,7551,Top Output,Inhibition,top_output
Y1,28,Cluster11,1-99 cells,T4a,28,Cluster12,700+ cells,6767,Top Output,Inhibition,top_output
Y1,28,Cluster11,1-99 cells,T5a,28,Cluster12,700+ cells,6490,Top Output,Inhibition,top_output
T5a,94,Cluster12,700+ cells,VCH,94,Boundary,1-99 cells,4377,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,VCH,94,Boundary,1-99 cells,4336,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,TmY20,94,Cluster11,100-699 cells,7747,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,TmY20,94,Cluster11,100-699 cells,7531,Top Input,Excitation,top_input
TmY20,34,Cluster11,100-699 cells,TmY14,34,Cluster7,100-699 cells,3778,Top Output,Excitation,top_output
TmY20,34,Cluster11,100-699 cells,Y3,34,Cluster7,100-699 cells,3331,Top Output,Excitation,top_output
T4a,94,Cluster12,700+ cells,LLPC1,94,Boundary,100-699 cells,7959,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,LLPC1,94,Boundary,100-699 cells,7644,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,Li14,94,Cluster12,1-99 cells,5257,Top Input,Excitation,top_input
Tm3,100,Cluster9,700+ cells,Li14,100,Cluster12,1-99 cells,4081,Top Input,Excitation,top_input
Li14,21,Cluster12,1-99 cells,T5c,21,Cluster12,700+ cells,2095,Top Output,Inhibition,top_output
Li14,21,Cluster12,1-99 cells,T5b,21,Cluster12,700+ cells,2057,Top Output,Inhibition,top_output
Li14,21,Cluster12,1-99 cells,T5d,21,Cluster12,700+ cells,1739,Top Output,Inhibition,top_output
Li14,21,Cluster12,1-99 cells,T5a,21,Cluster12,700+ cells,1673,Top Output,Inhibition,top_output
T5a,94,Cluster12,700+ cells,LPi02,94,Cluster11,1-99 cells,1077,Top Input,Excitation,top_input
LPi02,25,Cluster11,1-99 cells,LPT23,25,Boundary,1-99 cells,1665,Top Output,Inhibition,top_output
LPi02,25,Cluster11,1-99 cells,LPC1,25,Boundary,1-99 cells,1523,Top Output,Inhibition,top_output
LPi14,20,Cluster11,1-99 cells,LPC1,20,Boundary,1-99 cells,4056,Top Output,Inhibition,top_output
LPi14,20,Cluster11,1-99 cells,TmY4,20,Cluster2,100-699 cells,3433,Top Output,Inhibition,top_output
LPi15,20,Cluster11,1-99 cells,Nod2,20,Boundary,1-99 cells,432,Top Input,Inhibition,top_input
T4a,94,Cluster12,700+ cells,Nod2,94,Boundary,1-99 cells,352,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,H1,96,Boundary,1-99 cells,1574,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,H1,95,Boundary,1-99 cells,1465,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPT21,95,Boundary,1-99 cells,1271,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPT21,96,Boundary,1-99 cells,1242,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,DCH,94,Boundary,1-99 cells,5379,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,DCH,94,Boundary,1-99 cells,4701,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,HSN,94,Boundary,1-99 cells,3287,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,HSN,94,Boundary,1-99 cells,2726,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,HSE,94,Boundary,1-99 cells,3893,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,HSE,94,Boundary,1-99 cells,3281,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,Nod1,94,Boundary,1-99 cells,485,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,Tlp1,98,Cluster11,1-99 cells,7746,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,Tlp1,93,Cluster11,1-99 cells,7509,Top Input,Excitation,top_input
Tlp1,27,Cluster11,1-99 cells,TmY14,27,Cluster7,100-699 cells,4611,Top Output,Inhibition,top_output
T4d,98,Cluster12,700+ cells,VS3,98,Boundary,1-99 cells,3081,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VS3,93,Boundary,1-99 cells,2940,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VSm,93,Boundary,1-99 cells,2733,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,VSm,98,Boundary,1-99 cells,2097,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,VS2,98,Boundary,1-99 cells,3277,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VS2,93,Boundary,1-99 cells,3192,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi08,97,Cluster11,1-99 cells,1325,Top Input,Excitation,top_input
LPi11,23,Cluster11,1-99 cells,LPi08,23,Cluster11,1-99 cells,1163,Top Input,Inhibition,top_input
T4c,100,Cluster12,700+ cells,LPi08,100,Cluster11,1-99 cells,1098,Top Input,Excitation,top_input
LPi08,22,Cluster11,1-99 cells,TmY20,22,Cluster11,100-699 cells,714,Top Output,Inhibition,top_output
LPi08,22,Cluster11,1-99 cells,TmY31,22,Cluster1,100-699 cells,688,Top Output,Inhibition,top_output
LPi08,22,Cluster11,1-99 cells,LPLC4,22,Boundary,1-99 cells,573,Top Output,Inhibition,top_output
T5d,93,Cluster12,700+ cells,LPi06,93,Cluster11,1-99 cells,1132,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPi06,98,Cluster11,1-99 cells,1109,Top Input,Excitation,top_input
LPi06,22,Cluster11,1-99 cells,TmY20,22,Cluster11,100-699 cells,914,Top Output,Inhibition,top_output
LPi09,26,Cluster11,1-99 cells,LPT49,26,Boundary,1-99 cells,907,Top Input,Inhibition,top_input
T4d,98,Cluster12,700+ cells,LPT47_vCal2,98,Boundary,1-99 cells,724,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPT47_vCal2,93,Boundary,1-99 cells,558,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPTe01,98,Boundary,1-99 cells,1053,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPTe01,93,Boundary,1-99 cells,868,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,VS1,95,Boundary,1-99 cells,2078,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,VS1,96,Boundary,1-99 cells,1982,Top Input,Excitation,top_input
TmY20,34,Cluster11,100-699 cells,LC14a2,34,Boundary,1-99 cells,551,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VST2,93,Boundary,1-99 cells,1426,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,VST2,98,Boundary,1-99 cells,1128,Top Input,Excitation,top_input
Tlp1,27,Cluster11,1-99 cells,LTe18,27,Boundary,1-99 cells,215,Top Input,Inhibition,top_input
T5d,93,Cluster12,700+ cells,LPT27,93,Boundary,1-99 cells,1849,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPT27,98,Boundary,1-99 cells,1531,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPT30,98,Boundary,1-99 cells,425,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPT30,93,Boundary,1-99 cells,319,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,LPT31,94,Boundary,1-99 cells,350,Top Input,Excitation,top_input
LPi15,20,Cluster11,1-99 cells,LPT31,20,Boundary,1-99 cells,311,Top Input,Inhibition,top_input
T5c,97,Cluster12,700+ cells,LPT26,97,Boundary,1-99 cells,1334,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,LPT26,94,Boundary,1-99 cells,1265,Top Input,Excitation,top_input
LPi02,25,Cluster11,1-99 cells,LPT22,25,Boundary,1-99 cells,393,Top Input,Inhibition,top_input
LPi02,25,Cluster11,1-99 cells,LPT52,25,Boundary,1-99 cells,157,Top Input,Inhibition,top_input
LPi12,20,Cluster11,1-99 cells,LPT52,20,Boundary,1-99 cells,142,Top Input,Inhibition,top_input
T5a,94,Cluster12,700+ cells,VS8,94,Boundary,1-99 cells,919,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,VS8,94,Boundary,1-99 cells,769,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VS8,93,Boundary,1-99 cells,732,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,VS8,98,Boundary,1-99 cells,722,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,AVLP151,98,Boundary,1-99 cells,6,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPT45_dCal1,98,Boundary,1-99 cells,1480,Top Input,Excitation,top_input
LPi06,22,Cluster11,1-99 cells,cMLLP02,22,Boundary,1-99 cells,26,Top Input,Inhibition,top_input
Tlp14,23,Cluster11,1-99 cells,cMLLP02,23,Boundary,1-99 cells,22,Top Input,Inhibition,top_input
LPi13,20,Cluster11,1-99 cells,cLP02,20,Boundary,1-99 cells,89,Top Input,Inhibition,top_input
TmY20,34,Cluster11,100-699 cells,LPT57,34,Boundary,1-99 cells,47,Top Input,Excitation,top_input
Y12,30,Cluster11,1-99 cells,cLLPM02,30,Boundary,1-99 cells,9,Top Input,Inhibition,top_input
Y1,28,Cluster11,1-99 cells,cLLPM02,28,Boundary,1-99 cells,8,Top Input,Inhibition,top_input
LPi13,20,Cluster11,1-99 cells,cLP01,20,Boundary,1-99 cells,32,Top Input,Inhibition,top_input
T4c,100,Cluster12,700+ cells,cLP05,100,Boundary,1-99 cells,12,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,cLP05,97,Boundary,1-99 cells,9,Top Input,Excitation,top_input
